trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 1.0}",20,0,-71.24263020387437,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.99}",25,0,-80.21566465192046,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.99, 'e': 0.9801}",25,0,-40.28164839247589,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.970299}",25,0,8.593123695946801,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.96059601}",25,15,-8.466681847593772,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,0,-49.068082501924735,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.941480149401}",25,7,26.72119104554332,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-8.105991317458894,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,2,-24.116138638238574,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.99, 'e': 0.9135172474836408}",30,0,18.106360456513954,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.99, 'e': 0.9043820750088044}",35,15,-11.889288033217571,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.99, 'e': 0.8953382542587164}",35,18,19.619471953461147,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.99, 'e': 0.8863848717161292}",20,8,-18.12852060086672,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-16.968240020251976,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.99, 'e': 0.8687458127689782}",30,12,-24.13464512924736,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.99, 'e': 0.8600583546412884}",35,8,-42.81666672424295,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.99, 'e': 0.8514577710948755}",25,13,20.01926058906197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.99, 'e': 0.8429431933839268}",20,0,28.63634820736873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.99, 'e': 0.8345137614500875}",20,0,-60.62730215600182,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.99, 'e': 0.8261686238355866}",25,0,25.21745480508799,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.99, 'e': 0.8179069375972308}",25,5,19.590264776580504,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,8.965155066302199,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.99, 'e': 0.8016305895390459}",20,0,12.025378391534272,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.7936142836436554}",25,12,17.896886363277755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,10,15.886225422232842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.99, 'e': 0.7778213593991467}",20,8,26.722477647968695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.99, 'e': 0.7700431458051551}",30,13,22.657744370588155,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.99, 'e': 0.7623427143471035}",30,10,30.62674127325549,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.99, 'e': 0.7547192872036325}",30,0,-6.698436104661681,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,0,32.246098646438824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.99, 'e': 0.7397003733882802}",20,8,-23.441273860391235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.99, 'e': 0.7323033696543975}",30,14,28.13936881203267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.99, 'e': 0.7249803359578535}",20,2,26.554303771850407,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.99, 'e': 0.7177305325982749}",25,0,34.054977657213854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,9,17.678328109345404,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.99, 'e': 0.7034476949995692}",25,0,26.689867994070543,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.99, 'e': 0.6964132180495735}",20,0,10.874372431988489,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.99, 'e': 0.6894490858690778}",20,0,27.04808716787782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.99, 'e': 0.682554595010387}",20,6,25.160992774438903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.99, 'e': 0.6757290490602831}",25,15,20.569042489544003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.99, 'e': 0.6689717585696803}",20,14,9.691844358690314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.99, 'e': 0.6622820409839835}",20,2,4.5479016459352515,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6556592205741436}",25,4,32.216332510499264,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.99, 'e': 0.6491026283684022}",25,16,19.11779233556707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.99, 'e': 0.6426116020847181}",20,15,10.107177707918579,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.6361854860638709}",25,0,35.10654697702425,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.99, 'e': 0.6298236312032323}",20,12,12.684368752492928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.99, 'e': 0.6235253948912}",25,13,9.105971391197826,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.99, 'e': 0.617290140942288}",20,6,25.234461539409565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.99, 'e': 0.611117239532865}",25,11,24.776609745506136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.99, 'e': 0.6050060671375364}",20,2,24.53435864104885,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.99, 'e': 0.598956006466161}",20,0,32.005006040214056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.99, 'e': 0.5929664464014994}",30,7,38.72094293845947,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,14,10.280677089870817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.99, 'e': 0.5811664141181095}",30,12,24.82804059466948,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.99, 'e': 0.5753547499769285}",20,0,31.736964237658313,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.99, 'e': 0.5696012024771592}",25,16,5.328621498216492,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.5639051904523875}",30,15,33.29298582417651,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.5582661385478637}",20,9,18.17597973997812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.99, 'e': 0.5526834771623851}",30,11,34.59144687733781,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.99, 'e': 0.5471566423907612}",35,15,35.598892787332865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.99, 'e': 0.5416850759668536}",25,12,4.048892045349568,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.536268225207185}",20,6,25.078385103632492,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.99, 'e': 0.5309055429551132}",20,9,19.092110793674156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.99, 'e': 0.525596487525562}",20,3,23.945421209042813,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,14,12.626336304281633,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,17,16.08798398538477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,0,30.49820914065037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.99, 'e': 0.5048858887870696}",20,10,10.723465992155099,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.99, 'e': 0.4998370298991989}",25,16,16.35811296362433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,12,10.822741324005985,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.4898902730042049}",25,14,17.896583824911712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.99, 'e': 0.48499137027416284}",30,16,-15.124304745934243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.99, 'e': 0.4801414565714212}",25,17,12.579438713633326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.47534004200570695}",20,13,14.315613529631339,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.4705866415856499}",20,9,18.907269775913303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.99, 'e': 0.46588077516979337}",20,15,8.126597192726525,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.99, 'e': 0.46122196741809546}",30,18,21.05266715277969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.99, 'e': 0.4566097477439145}",25,13,18.78576133552283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.99, 'e': 0.45204365026647536}",20,14,10.398672517601954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.4475232137638106}",25,5,23.652196464954155,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.4430479816261725}",20,0,25.5853849706209,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.99, 'e': 0.43861750180991077}",25,8,30.16147175880195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.99, 'e': 0.43423132679181164}",30,16,26.972217290282085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4298890135238935}",20,11,14.921914300478463,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.99, 'e': 0.4255901233886546}",25,7,29.37668916998006,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.99, 'e': 0.421334222154768}",20,12,15.764270836501337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.99, 'e': 0.41712087993322033}",20,1,23.917208114442705,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.99, 'e': 0.41294967113388814}",20,12,14.175842722636702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.99, 'e': 0.40882017442254925}",30,0,36.4560546547644,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.99, 'e': 0.4047319726783238}",30,18,24.175590105706167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,10,21.480069049820994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,15,10.448257260550951,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.99, 'e': 0.39271102835780486}",20,13,12.559892399951064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,16,6.709902763473492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.99, 'e': 0.38489607889348454}",30,15,28.822492814414296,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,11,25.312295155580816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.37723664692350417}",25,18,10.252392491958313,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.99, 'e': 0.37346428045426916}",20,9,21.414902088582533,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.36972963764972644}",25,16,18.526391948281066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,3,27.045901567756864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.99, 'e': 0.3623720178604969}",20,7,-19.188924079516806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.99, 'e': 0.3587482976818919}",20,9,-4.821310236601682,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.355160814705073}",30,16,22.443628551508983,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.99, 'e': 0.35160920655802225}",25,15,16.11775141427997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.348093114492442}",20,6,22.154123100944183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.99, 'e': 0.3446121833475176}",25,15,17.426346841138464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.34116606151404244}",25,17,14.813164995330368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.99, 'e': 0.337754400898902}",20,15,6.978926707058903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.99, 'e': 0.334376856889913}",25,12,23.116433355538707,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.33103308832101386}",20,9,23.288079719918812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.99, 'e': 0.3277227574378037}",25,19,11.691187679206276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.99, 'e': 0.3244455298634257}",25,20,10.860174562717315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.3212010745647914}",25,15,15.49006682671811,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.99, 'e': 0.3179890638191435}",20,9,20.385039191575665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.31480917318095203}",30,0,45.1350182130772,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.99, 'e': 0.3116610814491425}",25,20,11.982454850607375,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.30854447063465107}",20,8,20.945969251736415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.99, 'e': 0.3054590259283046}",25,18,14.097508957309792,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.99, 'e': 0.30240443566902153}",20,12,17.205245019596486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.99, 'e': 0.2993803913123313}",20,0,30.275124172373037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.99, 'e': 0.296386587399208}",25,16,18.667576006701474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.99, 'e': 0.2934227215252159}",20,15,8.537820993947976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.99, 'e': 0.29048849430996376}",35,18,4.956101312884932,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.99, 'e': 0.2875836093668641}",20,6,22.890328251717452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.28470777327319546}",20,11,15.976326438729354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.2818606955404635}",20,13,13.475423894937915,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.27904208858505886}",25,5,34.973867624895135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.99, 'e': 0.2762516676992083}",20,11,18.749155585819782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.99, 'e': 0.2734891510222162}",25,20,11.6885772817302,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.27075425951199406}",30,18,24.270286109670256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.99, 'e': 0.2680467169168741}",20,12,10.404189033412326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.99, 'e': 0.26536624974770534}",20,14,10.891271076716063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.2627125872502283}",20,14,12.573514259760035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.99, 'e': 0.26008546137772603}",20,8,24.8313181390402,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.99, 'e': 0.25748460676394874}",25,13,24.96319958494633,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.2549097606963093}",20,14,12.0863541836655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.99, 'e': 0.2523606630893462}",20,6,24.788845740729514,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.99, 'e': 0.2498370564584527}",25,17,16.974112731812973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.99, 'e': 0.24733868589386818}",20,16,8.856357714735873,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.99, 'e': 0.24486529903492948}",20,6,-14.978386762336768,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.99, 'e': 0.2424166460445802}",20,1,26.21322415687727,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.99, 'e': 0.2399924795841344}",25,14,18.790432494548423,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.23759255478829303}",25,12,23.166408176017303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.99, 'e': 0.23521662924041012}",20,5,25.833060370427418,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.99, 'e': 0.232864462948006}",20,8,22.509008459442583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.23053581831852593}",20,4,31.913284676062347,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.99, 'e': 0.22823046013534068}",25,11,26.52366615916258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.99, 'e': 0.22594815553398728}",20,0,-9.516070960776517,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.99, 'e': 0.2236886739786474}",20,0,-49.60472294159058,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
151,False,"{'a': 0.99, 'e': 0.22145178723886091}",20,8,18.313868544934536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
