trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,10,-69.438156762468,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.90971692439535,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.19516956450418,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.95870043123676,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.49814404667971,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.17940413515812,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.65202059191571,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.0243612637214,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.888448604738834,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.07813705844828,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.80964684013645,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.93472965277553,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.78880897582516,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.28753098669492,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.28416808895398,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.75334987131562,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.73982807971738,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.62327982813723,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.34660190274253,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.17571465189728,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.242799523511,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.82999967292224,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.94375240048444,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.21080844785325,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.94257890590448,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.371780475485,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-295.79361722402444,"{0: 13, 1: 2, 2: 8, 3: 3, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.77525066399873,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-9.536208464480525,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,7,-26.495883145431076,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
